,attack_mean,param0_mean,bit_acc_mean,word_acc_mean,bit_acc_bch_mean,attack_min,param0_min,bit_acc_min,word_acc_min,bit_acc_bch_min,attack_max,param0_max,bit_acc_max,word_acc_max,bit_acc_bch_max,attack_std,param0_std,bit_acc_std,word_acc_std,bit_acc_bch_std
0,blur,3.0,0.9603174603174602,0.4444444444444444,0.9747474747474748,blur,3.0,0.7916666666666666,0,0.7840909090909091,blur,3.0,1.0,1,1.0,blur,3.0,0.06648305923716868,0.5270462766947299,0.07159491731604468
1,blur,5.0,0.9484126984126985,0.3333333333333333,0.9659090909090909,blur,5.0,0.7857142857142857,0,0.7727272727272727,blur,5.0,1.0,1,1.0,blur,5.0,0.06916041689656101,0.5,0.07386363636363637
2,blur,7.0,0.9391534391534392,0.2222222222222222,0.9583333333333334,blur,7.0,0.7916666666666666,0,0.7954545454545454,blur,7.0,1.0,1,1.0,blur,7.0,0.07003715315366184,0.44095855184409843,0.06650397676545244
3,blur,9.0,0.9312169312169313,0.2222222222222222,0.9558080808080808,blur,9.0,0.75,0,0.7727272727272727,blur,9.0,1.0,1,1.0,blur,9.0,0.08355153782797173,0.44095855184409843,0.07799719803778032
4,blur,11.0,0.9133597883597884,0.2222222222222222,0.928030303030303,blur,11.0,0.7083333333333334,0,0.7045454545454546,blur,11.0,1.0,1,1.0,blur,11.0,0.09781263068021699,0.44095855184409843,0.09906588508046986
5,blur,13.0,0.8908730158730158,0.2222222222222222,0.8989898989898991,blur,13.0,0.6785714285714286,0,0.6477272727272727,blur,13.0,1.0,1,1.0,blur,13.0,0.10556040387481072,0.44095855184409843,0.11511038938653591
6,blur,15.0,0.8412698412698413,0.0,0.8598484848484849,blur,15.0,0.6190476190476191,0,0.5909090909090909,blur,15.0,0.9880952380952381,0,1.0,blur,15.0,0.12111303541295115,0.0,0.12993859802305993
7,blur,17.0,0.7771164021164021,0.0,0.7992424242424243,blur,17.0,0.5654761904761905,0,0.5,blur,17.0,0.9523809523809523,0,0.9886363636363636,blur,17.0,0.1285669887044497,0.0,0.15245918028407662
8,blur,19.0,0.6984126984126984,0.0,0.7196969696969697,blur,19.0,0.5476190476190477,0,0.5340909090909091,blur,19.0,0.8690476190476191,0,0.875,blur,19.0,0.10412414097938034,0.0,0.11206297115520465
9,brightness,0.5,0.9570105820105819,0.4444444444444444,0.9671717171717172,brightness,0.5,0.7619047619047619,0,0.7272727272727273,brightness,0.5,1.0,1,1.0,brightness,0.5,0.07621475720900328,0.5270462766947299,0.09027557036221957
10,brightness,1.0,0.9715608465608465,0.4444444444444444,0.9810606060606061,brightness,1.0,0.8333333333333334,0,0.8295454545454546,brightness,1.0,1.0,1,1.0,brightness,1.0,0.053553053874070555,0.5270462766947299,0.0568181818181818
11,brightness,1.5,0.8313492063492063,0.1111111111111111,0.8535353535353535,brightness,1.5,0.5,0,0.4659090909090909,brightness,1.5,1.0,1,1.0,brightness,1.5,0.19198158836750168,0.33333333333333337,0.20987719965447077
12,brightness,2.0,0.7427248677248677,0.0,0.7626262626262625,brightness,2.0,0.5119047619047619,0,0.5227272727272727,brightness,2.0,0.9940476190476191,0,1.0,brightness,2.0,0.16893067346216895,0.0,0.17790937220935424
13,center_crop,0.1,0.6514550264550265,0.0,0.63510101010101,center_crop,0.1,0.5535714285714286,0,0.5681818181818182,center_crop,0.1,0.75,0,0.7386363636363636,center_crop,0.1,0.05584709501999035,0.0,0.05608747308697287
14,center_crop,0.2,0.6957671957671958,0.0,0.7083333333333334,center_crop,0.2,0.6130952380952381,0,0.6022727272727273,center_crop,0.2,0.7797619047619048,0,0.7840909090909091,center_crop,0.2,0.06231864593071194,0.0,0.05794340356355438
15,center_crop,0.30000000000000004,0.7473544973544973,0.0,0.7449494949494949,center_crop,0.30000000000000004,0.6607142857142857,0,0.625,center_crop,0.30000000000000004,0.8452380952380952,0,0.8522727272727273,center_crop,0.30000000000000004,0.07914155029832988,0.0,0.06961354526321628
16,center_crop,0.4,0.798941798941799,0.0,0.8093434343434344,center_crop,0.4,0.6785714285714286,0,0.6477272727272727,center_crop,0.4,0.9107142857142857,0,0.9659090909090909,center_crop,0.4,0.0922512367957753,0.0,0.10255292705061274
17,center_crop,0.5,0.8214285714285714,0.0,0.8282828282828283,center_crop,0.5,0.6666666666666666,0,0.6363636363636364,center_crop,0.5,0.9345238095238095,0,0.9545454545454546,center_crop,0.5,0.08697404283453845,0.0,0.10297179711415294
18,center_crop,0.6000000000000001,0.8386243386243386,0.0,0.8636363636363636,center_crop,0.6000000000000001,0.6607142857142857,0,0.6363636363636364,center_crop,0.6000000000000001,0.9464285714285714,0,1.0,center_crop,0.6000000000000001,0.10229805460177939,0.0,0.12679496366148524
19,center_crop,0.7000000000000001,0.8829365079365079,0.1111111111111111,0.8939393939393939,center_crop,0.7000000000000001,0.7202380952380952,0,0.7045454545454546,center_crop,0.7000000000000001,1.0,1,1.0,center_crop,0.7000000000000001,0.09771699499632143,0.33333333333333337,0.11090466645422231
20,center_crop,0.8,0.8816137566137566,0.0,0.8939393939393939,center_crop,0.8,0.6904761904761905,0,0.6477272727272727,center_crop,0.8,0.9880952380952381,0,1.0,center_crop,0.8,0.10320321642308707,0.0,0.12602882393647066
21,center_crop,0.9,0.8895502645502646,0.0,0.8939393939393939,center_crop,0.9,0.6666666666666666,0,0.6363636363636364,center_crop,0.9,0.9940476190476191,0,1.0,center_crop,0.9,0.10484942532234404,0.0,0.12330985462619717
22,center_crop,1.0,0.9715608465608465,0.4444444444444444,0.9810606060606061,center_crop,1.0,0.8333333333333334,0,0.8295454545454546,center_crop,1.0,1.0,1,1.0,center_crop,1.0,0.053553053874070555,0.5270462766947299,0.0568181818181818
23,contrast,0.0,0.4715608465608465,0.0,0.4722222222222222,contrast,0.0,0.4107142857142857,0,0.4431818181818182,contrast,0.0,0.5119047619047619,0,0.5113636363636364,contrast,0.0,0.03132470913461694,0.0,0.02610615293956482
24,contrast,0.5,0.9623015873015874,0.4444444444444444,0.9722222222222222,contrast,0.5,0.7916666666666666,0,0.7727272727272727,contrast,0.5,1.0,1,1.0,contrast,0.5,0.06674899253573158,0.5270462766947299,0.07518724712605762
25,contrast,1.0,0.9715608465608465,0.4444444444444444,0.9810606060606061,contrast,1.0,0.8333333333333334,0,0.8295454545454546,contrast,1.0,1.0,1,1.0,contrast,1.0,0.053553053874070555,0.5270462766947299,0.0568181818181818
26,contrast,1.5,0.9173280423280423,0.1111111111111111,0.9406565656565657,contrast,1.5,0.7202380952380952,0,0.6931818181818182,contrast,1.5,1.0,1,1.0,contrast,1.5,0.08430788800488238,0.33333333333333337,0.10207964377433232
27,contrast,2.0,0.8617724867724869,0.1111111111111111,0.8636363636363636,contrast,2.0,0.6547619047619048,0,0.625,contrast,2.0,1.0,1,1.0,contrast,2.0,0.10601162810524521,0.33333333333333337,0.12730316194550045
28,hue,-0.5,0.7579365079365079,0.0,0.7664141414141414,hue,-0.5,0.5833333333333334,0,0.5568181818181818,hue,-0.5,0.8988095238095238,0,0.9431818181818182,hue,-0.5,0.0926451334301987,0.0,0.1037007486515441
29,hue,-0.25,0.8869047619047619,0.0,0.9191919191919192,hue,-0.25,0.6904761904761905,0,0.7045454545454546,hue,-0.25,0.9642857142857143,0,1.0,hue,-0.25,0.08712667362085982,0.0,0.10297179711415294
30,hue,0.0,0.9715608465608465,0.4444444444444444,0.9810606060606061,hue,0.0,0.8333333333333334,0,0.8295454545454546,hue,0.0,1.0,1,1.0,hue,0.0,0.053553053874070555,0.5270462766947299,0.0568181818181818
31,hue,0.2,0.8908730158730158,0.1111111111111111,0.9078282828282828,hue,0.2,0.6726190476190477,0,0.6818181818181818,hue,0.2,1.0,1,1.0,hue,0.2,0.10288325010383095,0.33333333333333337,0.10846834138845722
32,hue,0.25,0.8736772486772487,0.0,0.8952020202020202,hue,0.25,0.6607142857142857,0,0.6931818181818182,hue,0.25,0.9821428571428571,0,1.0,hue,0.25,0.10596984280338557,0.0,0.10641512718091019
33,hue,0.5,0.7599206349206349,0.0,0.7638888888888888,hue,0.5,0.5773809523809523,0,0.5454545454545454,hue,0.5,0.8988095238095238,0,0.9431818181818182,hue,0.5,0.09643959372630745,0.0,0.10792131333263924
34,jpeg,10.0,0.5033068783068784,0.0,0.5277777777777778,jpeg,10.0,0.47023809523809523,0,0.4318181818181818,jpeg,10.0,0.5535714285714286,0,0.5795454545454546,jpeg,10.0,0.029328860117250957,0.0,0.04441681590741884
35,jpeg,20.0,0.5654761904761905,0.0,0.5782828282828283,jpeg,20.0,0.5178571428571429,0,0.5227272727272727,jpeg,20.0,0.6369047619047619,0,0.6590909090909091,jpeg,20.0,0.040371011804317056,0.0,0.049351569018164336
36,jpeg,30.0,0.6124338624338624,0.0,0.61489898989899,jpeg,30.0,0.5535714285714286,0,0.5568181818181818,jpeg,30.0,0.6607142857142857,0,0.6931818181818182,jpeg,30.0,0.04008967728408086,0.0,0.05000143478198519
37,jpeg,40.0,0.6415343915343915,0.0,0.6388888888888888,jpeg,40.0,0.5833333333333334,0,0.5568181818181818,jpeg,40.0,0.7083333333333334,0,0.7159090909090909,jpeg,40.0,0.04121543269412895,0.0,0.05043002634732709
38,jpeg,50.0,0.669973544973545,0.0,0.6704545454545454,jpeg,50.0,0.6071428571428571,0,0.5795454545454546,jpeg,50.0,0.7440476190476191,0,0.7386363636363636,jpeg,50.0,0.04283141497008515,0.0,0.06301441196823535
39,jpeg,60.0,0.7103174603174603,0.0,0.7133838383838385,jpeg,60.0,0.6428571428571429,0,0.6136363636363636,jpeg,60.0,0.7678571428571429,0,0.7727272727272727,jpeg,60.0,0.04610694459770734,0.0,0.05443222675454513
40,jpeg,70.0,0.7546296296296297,0.0,0.7512626262626263,jpeg,70.0,0.6726190476190477,0,0.6477272727272727,jpeg,70.0,0.8333333333333334,0,0.8409090909090909,jpeg,70.0,0.05738553517452207,0.0,0.0687580865934521
41,jpeg,80.0,0.828042328042328,0.0,0.8459595959595959,jpeg,80.0,0.7083333333333334,0,0.6931818181818182,jpeg,80.0,0.9285714285714286,0,0.9545454545454546,jpeg,80.0,0.06448412698412702,0.0,0.07751281033970123
42,jpeg,90.0,0.9113756613756614,0.0,0.9368686868686869,jpeg,90.0,0.7261904761904762,0,0.7045454545454546,jpeg,90.0,0.9880952380952381,0,1.0,jpeg,90.0,0.08082121532157842,0.0,0.09940926872735387
43,jpeg,100.0,0.9623015873015874,0.3333333333333333,0.9772727272727272,jpeg,100.0,0.7916666666666666,0,0.7954545454545454,jpeg,100.0,1.0,1,1.0,jpeg,100.0,0.06601509825243702,0.5,0.06818181818181819
44,meme_format,-1.0,0.7810846560846562,0.0,0.8118686868686869,meme_format,-1.0,0.6428571428571429,0,0.625,meme_format,-1.0,0.8511904761904762,0,0.9090909090909091,meme_format,-1.0,0.07427236898509837,0.0,0.09145982172461846
45,none,-1.0,0.9715608465608465,0.4444444444444444,0.9810606060606061,none,-1.0,0.8333333333333334,0,0.8295454545454546,none,-1.0,1.0,1,1.0,none,-1.0,0.053553053874070555,0.5270462766947299,0.0568181818181818
46,overlay_onto_screenshot,-1.0,0.5046296296296297,0.0,0.505050505050505,overlay_onto_screenshot,-1.0,0.4523809523809524,0,0.4318181818181818,overlay_onto_screenshot,-1.0,0.5297619047619048,0,0.5795454545454546,overlay_onto_screenshot,-1.0,0.030172433186003073,0.0,0.04619814741534268
47,resize,0.1,0.5396825396825397,0.0,0.5404040404040403,resize,0.1,0.4583333333333333,0,0.42045454545454547,resize,0.1,0.5773809523809523,0,0.625,resize,0.1,0.042612562688322475,0.0,0.07030572421693405
48,resize,0.2,0.6309523809523809,0.0,0.6174242424242424,resize,0.2,0.5416666666666666,0,0.4772727272727273,resize,0.2,0.8035714285714286,0,0.7954545454545454,resize,0.2,0.09435040169135334,0.0,0.11220691851211079
49,resize,0.30000000000000004,0.6825396825396824,0.0,0.702020202020202,resize,0.30000000000000004,0.5595238095238095,0,0.5227272727272727,resize,0.30000000000000004,0.9107142857142857,0,0.9886363636363636,resize,0.30000000000000004,0.12945573316030684,0.0,0.15723119379179737
50,resize,0.4,0.7281746031746033,0.0,0.7386363636363636,resize,0.4,0.5714285714285714,0,0.5340909090909091,resize,0.4,0.9285714285714286,0,0.9431818181818182,resize,0.4,0.1250708416038732,0.0,0.14044553516259406
51,resize,0.5,0.7791005291005291,0.0,0.7929292929292928,resize,0.5,0.6130952380952381,0,0.6022727272727273,resize,0.5,0.9761904761904762,0,1.0,resize,0.5,0.12243848111540884,0.0,0.14405149143792742
52,resize,0.6000000000000001,0.8240740740740741,0.0,0.8383838383838383,resize,0.6000000000000001,0.6428571428571429,0,0.6363636363636364,resize,0.6000000000000001,0.9880952380952381,0,1.0,resize,0.6000000000000001,0.1157317645801248,0.0,0.13430955039008638
53,resize,0.7000000000000001,0.8783068783068784,0.1111111111111111,0.8977272727272728,resize,0.7000000000000001,0.6607142857142857,0,0.6477272727272727,resize,0.7000000000000001,1.0,1,1.0,resize,0.7000000000000001,0.10560701096961317,0.33333333333333337,0.11602601054921668
54,resize,0.8,0.8921957671957672,0.1111111111111111,0.9040404040404041,resize,0.8,0.6547619047619048,0,0.6136363636363636,resize,0.8,1.0,1,1.0,resize,0.8,0.1116545313855947,0.33333333333333337,0.12932985337256847
55,resize,0.9,0.91005291005291,0.1111111111111111,0.9267676767676769,resize,0.9,0.7083333333333334,0,0.7159090909090909,resize,0.9,1.0,1,1.0,resize,0.9,0.09618412415508587,0.33333333333333337,0.09389814588061013
56,resize,1.0,0.9715608465608465,0.4444444444444444,0.9810606060606061,resize,1.0,0.8333333333333334,0,0.8295454545454546,resize,1.0,1.0,1,1.0,resize,1.0,0.053553053874070555,0.5270462766947299,0.0568181818181818
57,rotation,0.0,0.9715608465608465,0.4444444444444444,0.9810606060606061,rotation,0.0,0.8333333333333334,0,0.8295454545454546,rotation,0.0,1.0,1,1.0,rotation,0.0,0.053553053874070555,0.5270462766947299,0.0568181818181818
58,rotation,5.0,0.8888888888888888,0.1111111111111111,0.9040404040404041,rotation,5.0,0.6666666666666666,0,0.6477272727272727,rotation,5.0,1.0,1,1.0,rotation,5.0,0.104039037458027,0.33333333333333337,0.11701112569048096
59,rotation,10.0,0.8736772486772487,0.0,0.8964646464646465,rotation,10.0,0.6607142857142857,0,0.6363636363636364,rotation,10.0,0.9880952380952381,0,1.0,rotation,10.0,0.10848929845177739,0.0,0.12178781375585436
60,rotation,15.0,0.8558201058201058,0.0,0.8775252525252525,rotation,15.0,0.6369047619047619,0,0.6363636363636364,rotation,15.0,0.9821428571428571,0,1.0,rotation,15.0,0.11347749379229208,0.0,0.12458321240677031
61,rotation,20.0,0.8353174603174602,0.0,0.8547979797979798,rotation,20.0,0.6071428571428571,0,0.5681818181818182,rotation,20.0,0.9761904761904762,0,1.0,rotation,20.0,0.1150365957743315,0.0,0.13880133833769132
62,rotation,25.0,0.8181216931216931,0.0,0.8383838383838385,rotation,25.0,0.5892857142857143,0,0.5681818181818182,rotation,25.0,0.9761904761904762,0,1.0,rotation,25.0,0.12489760230172786,0.0,0.14076442557622765
63,rotation,30.0,0.8002645502645502,0.0,0.8118686868686869,rotation,30.0,0.5833333333333334,0,0.5340909090909091,rotation,30.0,0.9464285714285714,0,0.9886363636363636,rotation,30.0,0.11747891717817073,0.0,0.13953591254843836
64,rotation,35.0,0.7863756613756614,0.0,0.7967171717171717,rotation,35.0,0.6190476190476191,0,0.5909090909090909,rotation,35.0,0.9464285714285714,0,0.9772727272727273,rotation,35.0,0.11482251028754192,0.0,0.14049660626797753
65,rotation,40.0,0.7791005291005291,0.0,0.7941919191919191,rotation,40.0,0.5595238095238095,0,0.5454545454545454,rotation,40.0,0.9464285714285714,0,0.9659090909090909,rotation,40.0,0.1171139251061405,0.0,0.13073670345016905
